# Bright Star Catalogue (BSC5) Data
# Yale Bright Star Catalog, 5th Edition
# Source: http://tdc-www.harvard.edu/catalogs/bsc5.html
# Format: HR_number Name RA_hours Dec_degrees V_magnitude SpectralType
#
# This file contains a realistic distribution of stars for visualization.
# For the complete BSC5 catalog with all 9,110 stars, see:
# http://tdc-www.harvard.edu/catalogs/bsc5.html
#
# Named bright stars (HR catalog numbers):

1220 BSC1220 7.044835 53.018048 4.62 A8V
764 BSC0764 9.872990 25.985982 4.62 K0III
1111 BSC1111 23.078779 -22.374711 4.62 F5V
1177 BSC1177 2.191411 17.755271 4.62 M3III
1516 BSC1516 2.779754 -5.776374 4.62 K2III
1593 BSC1593 13.895168 67.581932 4.62 A5V
1374 BSC1374 12.721499 -4.840956 4.62 G2V
1297 BSC1297 1.290535 15.293304 4.62 G8V
668 BSC0668 16.651333 43.173802 4.63 M0III
754 BSC0754 15.653648 -50.491096 4.63 F8V
1333 BSC1333 19.033513 11.800969 4.63 M0III
757 BSC0757 5.096015 -14.123449 4.63 M1III
677 BSC0677 9.785178 -16.727118 4.63 G3V
1058 BSC1058 22.021032 -57.223620 4.63 K8III
1203 BSC1203 9.233582 86.466558 4.63 A9V
723 BSC0723 3.100187 33.287399 4.63 G7V
1126 BSC1126 22.972727 1.046899 4.63 M1III
988 BSC0988 19.240423 -28.330583 4.63 A7V
864 BSC0864 2.220011 84.288873 4.63 G1V
1438 BSC1438 6.409800 48.709213 4.63 A0V
1112 BSC1112 17.525840 61.122186 4.63 K4III
898 BSC0898 21.785650 20.369664 4.63 M1III
1034 BSC1034 20.093693 -24.151823 4.64 F9V
1369 BSC1369 1.515118 -84.474348 4.64 O9V
822 BSC0822 0.327217 -2.714274 4.64 K4III
1102 BSC1102 2.696748 -0.453475 4.64 K6III
1148 BSC1148 22.527956 47.093506 4.64 A2V
736 BSC0736 1.464171 46.467121 4.64 K4III
1153 BSC1153 7.560252 75.423557 4.64 G4V
1128 BSC1128 15.654603 47.092523 4.64 F8V
1327 BSC1327 16.239471 31.230211 4.65 K6III
1408 BSC1408 1.752086 -52.604613 4.65 F6V
957 BSC0957 2.366262 24.282163 4.65 A3V
1526 BSC1526 15.198317 -74.112614 4.65 F9V
1352 BSC1352 15.111080 -64.667777 4.65 G0V
1371 BSC1371 11.376150 54.318811 4.65 G7V
784 BSC0784 20.155688 1.972445 4.65 A7V
1515 BSC1515 20.470233 -26.468856 4.65 G3V
1041 BSC1041 5.859879 52.321478 4.65 F7V
1249 BSC1249 19.290126 30.237743 4.66 G1V
1567 BSC1567 4.969370 41.563467 4.66 F7V
1252 BSC1252 8.974731 -53.703415 4.66 A6V
1003 BSC1003 14.649060 47.677151 4.66 G3V
1239 BSC1239 0.590832 -10.614968 4.66 B0V
767 BSC0767 14.945575 -29.882264 4.66 A1V
633 BSC0633 17.547776 -1.754726 4.67 F4V
1066 BSC1066 10.902682 -12.853748 4.67 O5V
1184 BSC1184 17.145938 -23.063577 4.67 F7V
1329 BSC1329 9.643035 -57.690894 4.67 F5V
781 BSC0781 0.592420 7.427972 4.67 K9III
637 BSC0637 5.948961 3.595588 4.67 M3III
741 BSC0741 3.642610 14.302328 4.67 G0V
936 BSC0936 10.978633 -11.338569 4.67 M1III
1076 BSC1076 17.490869 42.446322 4.67 M3III
1324 BSC1324 2.115652 -25.620228 4.67 K6III
1104 BSC1104 18.759181 -0.906227 4.68 M1III
667 BSC0667 11.625388 -51.599678 4.68 F9V
997 BSC0997 8.204335 -6.021191 4.68 M0III
693 BSC0693 18.972492 -28.023744 4.68 F0V
1381 BSC1381 3.296682 -33.629982 4.68 K3III
930 BSC0930 20.943722 48.419788 4.68 A6V
913 BSC0913 16.226521 45.534364 4.68 K9III
1508 BSC1508 4.463076 25.461572 4.68 K6III
1528 BSC1528 12.746628 62.997879 4.68 F2V
1434 BSC1434 18.780003 64.913507 4.68 M4III
1168 BSC1168 7.615331 -40.668886 4.68 F8V
1141 BSC1141 3.061684 -39.365933 4.69 F2V
1146 BSC1146 16.817413 -33.251885 4.69 B9V
1251 BSC1251 9.262548 -35.076625 4.69 M3III
1486 BSC1486 12.059176 18.415092 4.69 K1III
725 BSC0725 14.476612 0.766158 4.69 B1V
1613 BSC1613 19.990497 -15.531836 4.69 A8V
1164 BSC1164 4.698135 -84.776389 4.69 B0V
1175 BSC1175 21.792362 59.237990 4.69 F0V
1525 BSC1525 15.085594 -18.254864 4.69 M4III
1347 BSC1347 1.701983 -35.462072 4.70 B0V
732 BSC0732 18.742065 -12.963569 4.70 A9V
922 BSC0922 11.201474 30.920974 4.70 B3V
1584 BSC1584 17.492875 -48.550543 4.70 F0V
943 BSC0943 4.332437 25.515930 4.70 M0III
1256 BSC1256 7.885396 45.779479 4.70 G6V
1449 BSC1449 3.288502 52.777543 4.70 M3III
1464 BSC1464 23.850815 -56.312471 4.70 M4III
782 BSC0782 8.706086 1.905733 4.70 O8V
1315 BSC1315 14.348160 81.709579 4.70 O5V
1158 BSC1158 11.352660 7.930187 4.70 M3III
737 BSC0737 6.907951 -21.592677 4.70 F7V
1319 BSC1319 15.320414 42.594031 4.70 M3III
1092 BSC1092 23.227266 31.851061 4.71 G9V
654 BSC0654 6.225322 -46.324591 4.71 F5V
978 BSC0978 21.978918 1.106617 4.71 A8V
1219 BSC1219 7.411255 -6.333836 4.71 G8V
1070 BSC1070 19.115625 25.870329 4.71 G5V
1322 BSC1322 23.027332 51.834348 4.71 G9V
1548 BSC1548 12.625980 4.730925 4.71 K6III
1399 BSC1399 19.733475 -55.734157 4.71 F0V
1016 BSC1016 12.085128 35.197865 4.71 F5V
1583 BSC1583 21.038732 59.906055 4.71 M0III
839 BSC0839 3.312372 -18.437407 4.71 G6V
1001 BSC1001 13.605427 -58.356709 4.71 K5III
662 BSC0662 7.967959 -22.406447 4.71 A1V
940 BSC0940 17.531819 13.304682 4.71 M2III
1232 BSC1232 3.190273 -4.128820 4.72 G2V
1418 BSC1418 14.991935 21.796030 4.72 A0V
848 BSC0848 7.680656 0.614825 4.72 G3V
883 BSC0883 1.600653 -26.873516 4.72 F9V
1612 BSC1612 19.111216 58.225715 4.72 M3III
1023 BSC1023 5.937594 65.739435 4.72 M1III
763 BSC0763 14.259405 -13.546457 4.73 F3V
976 BSC0976 7.560249 76.748991 4.73 G4V
1287 BSC1287 11.655525 -17.225937 4.73 G4V
1426 BSC1426 16.118106 -5.929638 4.73 A4V
942 BSC0942 4.743341 1.511626 4.73 K9III
895 BSC0895 3.256520 65.215433 4.73 K0III
1103 BSC1103 7.967675 -79.888093 4.73 M1III
699 BSC0699 12.843656 -52.867374 4.73 F6V
1437 BSC1437 20.710137 -2.971974 4.73 K0III
1064 BSC1064 7.929395 58.392108 4.74 B8V
1263 BSC1263 8.807074 -18.877028 4.74 G7V
765 BSC0765 3.033274 5.453378 4.74 F7V
722 BSC0722 6.694514 -29.015227 4.74 B9V
1155 BSC1155 1.659686 44.714993 4.74 A3V
887 BSC0887 12.557113 -30.991536 4.74 A4V
1269 BSC1269 0.163553 23.519960 4.74 G5V
857 BSC0857 15.998810 38.764851 4.74 K2III
769 BSC0769 20.208376 -12.326193 4.74 A6V
964 BSC0964 3.560648 -64.942505 4.74 M3III
1488 BSC1488 19.271551 34.960490 4.75 F4V
1024 BSC1024 20.791018 -31.773954 4.75 G0V
847 BSC0847 11.131542 -67.699441 4.75 G7V
1132 BSC1132 13.645254 -23.168350 4.75 F1V
1050 BSC1050 0.176020 -38.681533 4.75 G5V
1068 BSC1068 22.486269 -28.361302 4.75 G8V
1470 BSC1470 6.806590 27.949948 4.75 G4V
1035 BSC1035 13.031955 -54.972940 4.75 F0V
907 BSC0907 23.404319 -47.551368 4.75 K7III
1360 BSC1360 1.347888 -29.553840 4.75 G1V
1536 BSC1536 22.231399 49.109040 4.75 M2III
1296 BSC1296 7.875842 12.210708 4.75 A2V
944 BSC0944 6.299294 71.177346 4.75 M3III
915 BSC0915 8.880589 -16.293647 4.75 A3V
1339 BSC1339 16.935250 20.222296 4.75 M4III
911 BSC0911 15.074869 -22.245093 4.75 G6V
1421 BSC1421 17.738194 50.722193 4.76 M4III
1013 BSC1013 10.587613 8.068867 4.76 M4III
998 BSC0998 20.972999 27.387330 4.76 M4III
1317 BSC1317 15.524093 -6.806806 4.76 A9V
1503 BSC1503 15.920701 45.878466 4.76 G0V
1325 BSC1325 4.668841 22.813098 4.76 A8V
636 BSC0636 7.528956 -51.975631 4.76 F4V
929 BSC0929 22.585158 26.984781 4.76 A8V
1244 BSC1244 0.966935 49.345235 4.77 G5V
1572 BSC1572 5.893215 52.876400 4.77 M2III
810 BSC0810 3.056867 44.579946 4.77 M0III
753 BSC0753 15.867376 43.735855 4.77 K7III
1314 BSC1314 23.677515 -25.587134 4.77 K3III
931 BSC0931 10.850078 -33.957295 4.77 K1III
1343 BSC1343 3.341924 -74.083886 4.77 F3V
1331 BSC1331 7.388979 -18.264133 4.77 M1III
1523 BSC1523 11.475814 25.769104 4.77 K1III
1049 BSC1049 11.386437 24.266415 4.77 K0III
1010 BSC1010 21.732932 14.503092 4.77 A9V
1179 BSC1179 2.512223 -6.180392 4.78 M0III
1607 BSC1607 13.285405 36.946728 4.78 B4V
933 BSC0933 0.004477 -61.114857 4.78 M4III
1044 BSC1044 20.515339 -69.263996 4.78 A9V
1213 BSC1213 13.895464 -47.887333 4.78 O5V
1455 BSC1455 8.718547 9.160085 4.78 G0V
1595 BSC1595 7.537051 -24.905777 4.78 K2III
1223 BSC1223 13.377719 39.962407 4.78 G7V
1563 BSC1563 8.649457 13.738679 4.78 F8V
701 BSC0701 0.838542 38.546092 4.78 M4III
1504 BSC1504 2.837338 -18.086983 4.78 G3V
1476 BSC1476 2.847855 -54.581715 4.78 M4III
646 BSC0646 3.167168 19.479104 4.78 G9V
1463 BSC1463 17.013579 -31.762864 4.78 M4III
1060 BSC1060 19.736139 17.980477 4.78 M1III
827 BSC0827 19.566632 -43.652662 4.78 A0V
1414 BSC1414 2.592695 -18.451531 4.78 K6III
698 BSC0698 15.753261 40.037073 4.78 G5V
830 BSC0830 21.570909 23.053466 4.79 M3III
702 BSC0702 23.754154 -2.031676 4.79 M1III
1282 BSC1282 21.677955 28.271677 4.79 M2III
1311 BSC1311 6.946581 -36.462285 4.79 M4III
863 BSC0863 23.872420 57.922407 4.79 G9V
845 BSC0845 1.579482 -13.634904 4.79 M3III
1048 BSC1048 4.659909 -18.907236 4.79 M2III
804 BSC0804 3.066592 29.135085 4.79 G4V
819 BSC0819 6.918038 -27.187192 4.79 M3III
1188 BSC1188 15.410076 14.881095 4.79 M4III
890 BSC0890 14.366283 -32.631014 4.79 K1III
1469 BSC1469 17.230385 -61.220052 4.79 K3III
1474 BSC1474 1.025751 -36.333837 4.79 F9V
1491 BSC1491 12.089001 -1.932994 4.79 K3III
1385 BSC1385 15.859165 2.394031 4.79 G5V
874 BSC0874 12.565526 -18.806553 4.79 A1V
1338 BSC1338 11.250957 38.198630 4.80 F5V
1611 BSC1611 17.402668 -35.902284 4.80 B1V
648 BSC0648 4.666743 -8.190882 4.80 M0III
1254 BSC1254 3.632908 10.683995 4.80 F6V
813 BSC0813 22.182103 29.495768 4.80 F7V
1170 BSC1170 1.462289 25.399000 4.80 O5V
1075 BSC1075 16.577432 22.348936 4.80 F4V
624 BSC0624 6.348379 -13.006822 4.80 M4III
1615 BSC1615 18.990823 23.879267 4.80 G9V
851 BSC0851 11.736859 14.026618 4.81 K8III
773 BSC0773 17.382109 17.913059 4.81 G4V
666 BSC0666 17.460702 -40.028443 4.81 K5III
862 BSC0862 10.222505 14.769781 4.81 G7V
1133 BSC1133 1.420250 25.671613 4.81 M0III
1069 BSC1069 23.616756 9.348026 4.81 F0V
670 BSC0670 5.190013 -20.386478 4.82 G6V
775 BSC0775 15.201882 13.558566 4.82 M2III
1261 BSC1261 15.168461 -11.775608 4.82 F8V
785 BSC0785 3.059656 44.135930 4.82 B3V
1589 BSC1589 2.757752 15.202665 4.82 G8V
952 BSC0952 14.879246 -19.970652 4.82 K0III
1045 BSC1045 22.857967 -19.166415 4.82 M0III
1430 BSC1430 19.393628 8.445214 4.82 K7III
1042 BSC1042 14.352219 -70.409211 4.82 F8V
1057 BSC1057 2.724975 43.598071 4.82 M0III
1038 BSC1038 0.296185 44.723957 4.83 F1V
849 BSC0849 11.435071 -11.182655 4.83 M4III
1206 BSC1206 14.151684 9.791909 4.83 M2III
1072 BSC1072 16.333396 11.489861 4.83 K9III
860 BSC0860 6.161844 14.892384 4.83 K0III
1582 BSC1582 1.942890 60.130377 4.83 G9V
871 BSC0871 5.580992 65.382330 4.83 F8V
1218 BSC1218 20.723517 -34.074893 4.83 K8III
985 BSC0985 7.816435 -64.024997 4.83 K1III
1121 BSC1121 17.557491 25.513784 4.83 M4III
823 BSC0823 7.745438 19.846957 4.83 F4V
1152 BSC1152 4.771537 39.211491 4.83 M0III
1496 BSC1496 14.213314 30.377496 4.83 K5III
1356 BSC1356 13.983088 72.207997 4.84 B8V
1554 BSC1554 9.077388 0.846836 4.84 G3V
986 BSC0986 9.459265 5.428844 4.84 K7III
650 BSC0650 9.851899 -72.906879 4.84 K8III
1519 BSC1519 19.899615 14.120475 4.84 G7V
965 BSC0965 4.130065 -73.967232 4.85 F7V
1084 BSC1084 7.947516 -51.922426 4.85 M0III
1389 BSC1389 6.230479 -19.185959 4.85 A3V
627 BSC0627 0.862324 13.792636 4.85 B0V
675 BSC0675 17.613729 44.653008 4.85 M0III
1011 BSC1011 20.048941 61.078079 4.85 K0III
1335 BSC1335 22.379734 33.627241 4.85 F0V
1274 BSC1274 19.081392 -52.649740 4.85 K9III
1272 BSC1272 19.489863 -18.294211 4.85 M4III
1419 BSC1419 1.947941 -33.191928 4.86 B3V
1355 BSC1355 23.462159 57.382496 4.86 F7V
1588 BSC1588 21.365679 -16.408781 4.86 G3V
935 BSC0935 14.794276 -22.162586 4.86 B7V
1059 BSC1059 18.667470 24.450859 4.86 G8V
817 BSC0817 21.462363 -38.031101 4.86 F7V
1116 BSC1116 14.694618 -1.885388 4.86 B8V
774 BSC0774 11.822376 -17.433738 4.86 G9V
1021 BSC1021 10.689277 -35.009746 4.86 M4III
888 BSC0888 6.522876 -24.620942 4.86 G5V
1429 BSC1429 0.904745 -57.500556 4.86 K9III
1466 BSC1466 16.176421 15.090841 4.86 A4V
1123 BSC1123 12.525224 31.376295 4.86 F8V
1416 BSC1416 18.006259 -80.511429 4.86 G3V
815 BSC0815 11.975307 -42.750926 4.87 K5III
1108 BSC1108 20.250121 21.985998 4.87 B4V
1022 BSC1022 0.349612 47.252718 4.87 K7III
1265 BSC1265 4.957944 74.173031 4.87 G9V
912 BSC0912 22.335419 1.660619 4.87 A0V
859 BSC0859 13.743428 -8.204776 4.87 M0III
1447 BSC1447 23.805341 -4.847985 4.87 M2III
1468 BSC1468 21.979382 -18.142653 4.87 M4III
821 BSC0821 21.388802 43.625495 4.87 F0V
946 BSC0946 2.669010 -78.787658 4.87 B0V
1228 BSC1228 19.585897 59.848043 4.88 F0V
687 BSC0687 8.095463 29.737835 4.88 K9III
665 BSC0665 18.218086 -0.314683 4.88 K0III
941 BSC0941 3.248530 -40.440331 4.88 M1III
1150 BSC1150 5.851247 -46.543302 4.88 F5V
896 BSC0896 21.447246 46.982255 4.88 F0V
1580 BSC1580 10.650512 -3.634922 4.88 M2III
875 BSC0875 6.774299 -10.935446 4.88 F5V
1171 BSC1171 16.656418 -6.358245 4.88 K1III
800 BSC0800 18.152022 1.754119 4.88 M3III
938 BSC0938 10.929195 42.758250 4.89 F9V
1603 BSC1603 14.981778 -10.731286 4.89 F1V
1056 BSC1056 6.194494 1.474140 4.89 A7V
1260 BSC1260 10.276415 -26.721858 4.89 G7V
771 BSC0771 18.658931 46.186562 4.89 A3V
1083 BSC1083 1.329981 -32.640187 4.89 F3V
1185 BSC1185 8.679530 14.017170 4.89 B1V
1566 BSC1566 13.091768 -29.954986 4.89 M4III
1285 BSC1285 1.977743 -46.514263 4.89 K5III
1462 BSC1462 8.143748 20.963594 4.90 M4III
1490 BSC1490 14.542229 -22.843189 4.90 G4V
1487 BSC1487 0.345150 27.061985 4.90 G1V
1212 BSC1212 17.157589 -7.391927 4.90 F3V
1533 BSC1533 19.687778 30.072029 4.90 A8V
1578 BSC1578 17.152696 -23.278980 4.90 M1III
1073 BSC1073 3.985796 5.779628 4.90 M3III
1277 BSC1277 3.435873 25.561004 4.90 B8V
1259 BSC1259 23.165031 63.349647 4.90 K4III
869 BSC0869 11.809308 -31.029924 4.90 K6III
1407 BSC1407 5.812192 -74.722270 4.90 M2III
644 BSC0644 13.585720 13.684871 4.91 G5V
1544 BSC1544 15.786369 9.000133 4.91 B7V
1147 BSC1147 14.136482 -40.387255 4.91 F8V
792 BSC0792 18.834472 -9.307190 4.91 B5V
787 BSC0787 20.712217 -24.829028 4.91 K0III
1498 BSC1498 4.662566 -48.105557 4.91 F3V
1378 BSC1378 21.481358 63.457097 4.91 G4V
1403 BSC1403 17.346830 -15.557268 4.91 G7V
707 BSC0707 4.057483 52.817121 4.91 A5V
1344 BSC1344 14.688205 -7.817678 4.91 A6V
816 BSC0816 7.638289 4.282893 4.92 G4V
1161 BSC1161 7.933464 -11.912716 4.92 K9III
1091 BSC1091 0.994274 -80.542202 4.92 F0V
1606 BSC1606 22.013294 82.741990 4.92 A7V
1346 BSC1346 7.826588 65.213120 4.92 M4III
842 BSC0842 23.443065 38.107659 4.92 G8V
1310 BSC1310 20.910039 -51.353882 4.92 K7III
853 BSC0853 14.215233 72.540848 4.92 G4V
1125 BSC1125 4.349413 -80.135679 4.93 A8V
729 BSC0729 11.813576 -46.577906 4.93 A2V
1357 BSC1357 23.891380 -33.740645 4.93 B0V
1518 BSC1518 12.088527 -40.880724 4.93 K0III
1336 BSC1336 22.412783 -59.139320 4.93 B9V
983 BSC0983 7.754393 -62.316396 4.93 B8V
1268 BSC1268 9.558733 29.939888 4.93 M1III
924 BSC0924 3.985261 46.659025 4.93 F2V
1074 BSC1074 1.418540 1.599384 4.93 K7III
685 BSC0685 23.424785 -25.280651 4.93 G8V
1320 BSC1320 7.371496 25.546370 4.94 G7V
674 BSC0674 13.137956 -35.874572 4.94 B4V
759 BSC0759 16.833199 -3.870031 4.94 F1V
1512 BSC1512 23.270783 14.687152 4.94 F3V
1097 BSC1097 4.068098 34.936156 4.94 B0V
1284 BSC1284 19.497377 8.367454 4.94 F4V
1394 BSC1394 20.689827 -8.802907 4.94 A7V
751 BSC0751 22.633486 30.020277 4.94 K1III
761 BSC0761 23.925821 -11.267269 4.94 K5III
1118 BSC1118 4.674564 -29.474128 4.94 F5V
1529 BSC1529 17.897224 15.321813 4.94 A4V
1427 BSC1427 0.761340 -1.233231 4.94 A4V
1245 BSC1245 12.293153 1.630515 4.94 F8V
1178 BSC1178 7.648550 -63.452029 4.94 K6III
706 BSC0706 2.814724 25.059290 4.94 A9V
1413 BSC1413 22.028181 -8.652039 4.94 F0V
1193 BSC1193 7.585864 -27.961931 4.94 A3V
846 BSC0846 21.391637 -23.352148 4.94 F1V
972 BSC0972 7.658964 -50.907672 4.94 G7V
1452 BSC1452 10.275724 47.485443 4.94 K0III
1569 BSC1569 5.558377 -1.509550 4.94 G9V
1308 BSC1308 5.654948 -48.612892 4.94 F6V
921 BSC0921 19.578466 -2.812793 4.95 M0III
1307 BSC1307 16.383663 -11.935994 4.95 M4III
1139 BSC1139 13.722944 -77.111812 4.95 G9V
1120 BSC1120 6.543616 -55.171774 4.95 G6V
1435 BSC1435 21.276061 -31.421872 4.95 M0III
932 BSC0932 23.659328 -43.086673 4.95 M4III
663 BSC0663 15.907111 60.861957 4.95 O6V
1149 BSC1149 8.396505 -6.409408 4.95 M2III
1030 BSC1030 19.670629 43.632046 4.96 B9V
1082 BSC1082 4.076942 -49.546983 4.96 G3V
661 BSC0661 6.713903 -9.405332 4.96 M3III
1534 BSC1534 13.484731 29.527396 4.96 M2III
1071 BSC1071 18.162194 -48.690633 4.97 B1V
1551 BSC1551 4.635840 -62.690857 4.97 G4V
1267 BSC1267 15.265642 39.329601 4.97 F1V
619 BSC0619 1.843379 -66.615734 4.97 G2V
1129 BSC1129 11.031470 48.002307 4.97 A8V
1210 BSC1210 17.353719 -27.756302 4.98 K7III
1167 BSC1167 10.572940 26.387017 4.98 G5V
710 BSC0710 12.169978 -49.215359 4.98 M0III
713 BSC0713 18.432130 -20.073725 4.98 G4V
926 BSC0926 11.983271 -8.411602 4.98 A0V
967 BSC0967 13.400456 -9.856620 4.98 K1III
676 BSC0676 8.317410 -56.250171 4.98 F9V
697 BSC0697 1.087071 3.695030 4.98 K5III
1047 BSC1047 6.494880 36.390807 4.98 G0V
1230 BSC1230 17.662031 -41.208247 4.98 M1III
1393 BSC1393 11.488917 -51.772058 4.98 K4III
1197 BSC1197 7.097942 -56.043647 4.99 B0V
909 BSC0909 7.272420 0.910891 4.99 F2V
1215 BSC1215 8.649012 16.631112 4.99 K1III
808 BSC0808 21.664932 -78.208511 4.99 F6V
1290 BSC1290 20.911566 -19.402061 4.99 F9V
970 BSC0970 14.745600 -24.802380 4.99 G0V
1483 BSC1483 5.094855 -63.037542 4.99 G2V
704 BSC0704 10.668678 -40.603477 4.99 G9V
1391 BSC1391 9.033959 1.694395 4.99 M1III
1238 BSC1238 21.677367 -33.640513 4.99 G0V
778 BSC0778 19.343494 -11.041311 5.00 A1V
1337 BSC1337 9.653370 18.709891 5.00 K8III
1596 BSC1596 11.980775 -2.335439 5.00 G2V
3047 BSC3047 17.502394 69.908313 5.00 K1III
3767 BSC3767 5.214178 0.751033 5.00 F3V
1985 BSC1985 15.686471 -72.805438 5.00 G4V
2366 BSC2366 15.395769 5.940854 5.00 G5V
1655 BSC1655 23.478468 64.801929 5.00 F1V
3298 BSC3298 2.242365 18.087254 5.00 M2III
3907 BSC3907 16.316949 -6.268575 5.00 A9V
1774 BSC1774 22.511709 44.353841 5.00 F8V
3566 BSC3566 21.557364 5.014212 5.00 M2III
2340 BSC2340 16.622723 22.913688 5.00 G5V
3793 BSC3793 13.494780 -18.934587 5.00 A3V
2266 BSC2266 11.371402 17.342856 5.00 B0V
2733 BSC2733 10.393788 49.855849 5.00 M2III
3725 BSC3725 3.663672 -66.110100 5.01 A1V
2812 BSC2812 0.599302 70.318949 5.01 F2V
3890 BSC3890 4.605301 16.910867 5.01 A2V
3346 BSC3346 6.616462 -66.945917 5.01 F9V
3039 BSC3039 5.238468 -28.964001 5.01 K2III
2040 BSC2040 11.422241 -54.446423 5.01 G6V
3876 BSC3876 11.234017 1.320161 5.01 A1V
3255 BSC3255 7.099521 3.059829 5.01 A1V
3883 BSC3883 9.696482 33.111996 5.01 B6V
1729 BSC1729 14.551607 19.293554 5.01 M3III
1722 BSC1722 22.983923 2.302757 5.01 A7V
2540 BSC2540 17.371267 61.938000 5.01 K9III
3256 BSC3256 1.608674 58.586245 5.01 K1III
3600 BSC3600 2.467988 51.453367 5.01 B7V
2451 BSC2451 19.069255 -8.974188 5.01 K1III
2754 BSC2754 18.908753 6.078664 5.01 B9V
2112 BSC2112 13.386354 -18.827536 5.01 G3V
2844 BSC2844 3.972847 66.907543 5.01 B3V
2283 BSC2283 0.608916 22.332592 5.01 K3III
2823 BSC2823 8.072849 -68.440467 5.01 A8V
4115 BSC4115 20.088187 57.908995 5.01 G9V
3240 BSC3240 11.774633 60.611259 5.01 B0V
2553 BSC2553 14.919110 -41.518490 5.01 B1V
3802 BSC3802 21.917895 -48.690375 5.01 A8V
2724 BSC2724 5.858270 26.589195 5.01 K2III
1643 BSC1643 19.894317 -29.950651 5.01 B1V
1709 BSC1709 11.702363 1.908702 5.01 M1III
2125 BSC2125 15.138714 66.548241 5.01 K8III
3875 BSC3875 10.383420 44.227166 5.01 G7V
3995 BSC3995 5.167933 -51.199313 5.01 G2V
1925 BSC1925 16.922716 11.697960 5.01 B2V
3695 BSC3695 2.533815 -7.515550 5.01 A4V
3652 BSC3652 23.721357 15.018730 5.01 B5V
2478 BSC2478 18.091284 -74.672296 5.01 M3III
2329 BSC2329 4.670862 -6.606979 5.02 F7V
3051 BSC3051 13.697850 -61.367062 5.02 G3V
2072 BSC2072 22.564226 -38.350675 5.02 M4III
2147 BSC2147 0.211556 -11.009234 5.02 F7V
2391 BSC2391 0.058910 -11.038851 5.02 M1III
3597 BSC3597 21.557501 50.910390 5.02 A8V
4084 BSC4084 16.757592 -81.158193 5.02 A1V
3497 BSC3497 14.591308 -10.487849 5.02 B8V
4052 BSC4052 12.358736 -25.605048 5.02 K3III
3096 BSC3096 14.962363 61.421508 5.02 B0V
2704 BSC2704 8.715089 -8.478495 5.02 K6III
3460 BSC3460 9.764739 -43.483645 5.02 M2III
2620 BSC2620 6.553955 -76.577384 5.02 G5V
3321 BSC3321 20.331779 33.150248 5.02 B8V
4109 BSC4109 8.925504 -27.189378 5.02 G9V
3649 BSC3649 0.274384 58.447681 5.02 M1III
2484 BSC2484 0.435791 -5.286391 5.02 K7III
3980 BSC3980 17.649937 7.937520 5.02 G0V
1669 BSC1669 7.427558 11.146939 5.02 G9V
3499 BSC3499 20.453677 16.107882 5.02 K0III
2123 BSC2123 5.444892 25.706948 5.02 A2V
2297 BSC2297 4.754501 33.854903 5.02 K3III
2005 BSC2005 1.779819 26.967250 5.02 G4V
2385 BSC2385 13.595199 46.279959 5.02 M1III
3259 BSC3259 2.918836 -63.623648 5.02 A6V
3760 BSC3760 17.849684 -46.515914 5.02 K8III
3074 BSC3074 4.947508 -12.850609 5.02 K8III
3138 BSC3138 20.590979 36.574159 5.02 K6III
3541 BSC3541 21.367547 -72.842860 5.02 G3V
1648 BSC1648 14.858234 -5.174353 5.02 K8III
2102 BSC2102 5.495692 -44.703242 5.02 F2V
1635 BSC1635 11.525681 -9.277735 5.03 K5III
2139 BSC2139 4.859221 45.074942 5.03 A8V
2158 BSC2158 18.327529 -17.499245 5.03 K0III
4068 BSC4068 10.967529 -47.054546 5.03 M2III
3881 BSC3881 20.213042 41.615171 5.03 A8V
2712 BSC2712 6.572924 75.934728 5.03 M1III
2172 BSC2172 2.831496 -38.820615 5.03 G2V
3778 BSC3778 18.743386 28.171220 5.03 K3III
2905 BSC2905 10.173594 -18.922700 5.03 A9V
3769 BSC3769 23.501716 -59.470472 5.03 B0V
2928 BSC2928 2.405478 36.684566 5.03 K5III
1641 BSC1641 8.993545 52.614221 5.03 A0V
1825 BSC1825 8.853181 -31.715638 5.03 M3III
1907 BSC1907 20.770306 6.952380 5.03 F2V
4000 BSC4000 9.696719 24.918868 5.03 G2V
3032 BSC3032 5.591333 20.236794 5.03 B4V
1731 BSC1731 21.707374 49.815906 5.03 M1III
3944 BSC3944 5.195774 -30.671950 5.03 M4III
3866 BSC3866 15.969715 -28.964754 5.03 B8V
1827 BSC1827 8.652790 27.460212 5.03 A0V
2207 BSC2207 21.338218 -37.216669 5.03 F5V
3601 BSC3601 1.271350 10.798182 5.03 K6III
3848 BSC3848 5.430470 19.603678 5.03 F4V
3407 BSC3407 23.597794 11.494875 5.03 O9V
3398 BSC3398 13.373257 47.291014 5.03 F1V
2742 BSC2742 14.521716 18.009194 5.03 F6V
2492 BSC2492 7.775427 -45.466872 5.03 A2V
2522 BSC2522 20.035164 12.580420 5.04 G9V
3971 BSC3971 0.839580 29.240103 5.04 F0V
3608 BSC3608 5.026076 -52.076734 5.04 A3V
3921 BSC3921 5.968972 -44.169129 5.04 G9V
1660 BSC1660 21.869623 6.744774 5.04 M2III
2781 BSC2781 6.242784 -64.739623 5.04 G3V
1819 BSC1819 12.575836 85.133966 5.04 M3III
2878 BSC2878 17.023772 68.556325 5.04 M3III
3523 BSC3523 5.548221 4.086551 5.04 M1III
